Time,Dog_bark,Bark_back
1657991097,1,0
1657991177,1,0
1657991177,1,0
1657991180,1,0
1657991181,1,0
1657991191,1,0
1657991192,1,0
1657991195,1,0
1657991201,1,0
1657991202,1,0
1657991210,1,0
1657991225,1,0
1657991226,1,0
1657991233,1,0
1657991234,1,0
1657991245,1,0
1657991246,1,0
1657991247,1,0
1657991248,1,0
1657991249,1,0
1657991256,1,0
1657991258,1,0
1657991267,1,0
1657991273,1,0
1657991274,1,0
1657991276,1,0
1657991279,1,0
1657991284,1,0
1657991287,1,0
1657991288,1,0
1657991290,1,0
1657991329,1,0
1657991330,1,0
1657991332,1,0
1657991336,1,0
1657991339,1,0
1657991343,1,0
1657991348,1,0
1657991350,1,0
1659306649.2847414,1,0
1659306668.1646326,1,0
1659499543.9874065,1,0
